"","Year.Month","Month.Number","Year","Month","Cotagecheese.Prod","Icecream.Prod","Milk.Prod","N.CA.Fat.Price"
"1",1995.01,1,1995,"Jan",4.37,51.595,2.112,0.9803
"2",1995.02,2,1995,"Feb",3.695,56.086,1.932,0.8924
"3",1995.03,3,1995,"Mar",4.538,68.453,2.162,0.8924
"4",1995.04,4,1995,"Apr",4.28,65.722,2.13,0.8967
"5",1995.05,5,1995,"May",4.47,73.73,2.227,0.8967
"6",1995.06,6,1995,"June",4.238,77.994,2.124,0.916
"7",1995.07,7,1995,"July",4.377,81.475,2.184,0.916
"8",1995.08,8,1995,"Aug",4.368,74.981,2.152,0.8934
"9",1995.09,9,1995,"Sept",3.917,61.53,2.062,0.8934
"10",1995.1,10,1995,"Oct",4.078,60.022,2.121,0.9434
"11",1995.11,11,1995,"Nov",3.611,52.772,2.03,0.9434
"12",1995.12,12,1995,"Dec",3.591,50.85,2.091,1.0811
"13",1996.01,1,1996,"Jan",3.698,53.116,2.109,1.0811
"14",1996.02,2,1996,"Feb",3.429,57.463,1.996,1.1022
"15",1996.03,3,1996,"Mar",3.717,68.929,2.173,1.1022
"16",1996.04,4,1996,"Apr",3.688,69.673,2.163,1.048
"17",1996.05,5,1996,"May",3.897,77.387,2.233,1.048
"18",1996.06,6,1996,"June",3.756,86.814,2.142,1.073
"19",1996.07,7,1996,"July",4.099,83.006,2.182,1.073
"20",1996.08,8,1996,"Aug",3.979,79.26,2.129,1.2333
"21",1996.09,9,1996,"Sept",3.73,69.216,2.138,1.2333
"22",1996.1,10,1996,"Oct",4.214,64.556,2.215,1.372
"23",1996.11,11,1996,"Nov",4.418,54.378,2.156,1.372
"24",1996.12,12,1996,"Dec",3.323,53.291,2.212,1.3974
"25",1997.01,1,1997,"Jan",3.761,55.565,2.177,1.3974
"26",1997.02,2,1997,"Feb",3.404,58.962,2.028,1.0004
"27",1997.03,3,1997,"Mar",3.552,72.866,2.361,1.0004
"28",1997.04,4,1997,"Apr",3.489,74.965,2.358,1.0004
"29",1997.05,5,1997,"May",3.398,75.425,2.417,1.0004
"30",1997.06,6,1997,"June",3.67,85.133,2.314,1.0247
"31",1997.07,7,1997,"July",3.697,83.144,2.386,1.0247
"32",1997.08,8,1997,"Aug",3.633,75.258,2.366,0.9407
"33",1997.09,9,1997,"Sept",3.433,70.23,2.258,0.9407
"34",1997.1,10,1997,"Oct",3.313,61.385,2.351,1.1614
"35",1997.11,11,1997,"Nov",2.982,53.516,2.263,1.1614
"36",1997.12,12,1997,"Dec",2.947,55.289,2.303,1.2054
"37",1998.01,1,1998,"Jan",3.069,51.239,2.341,1.2054
"38",1998.02,2,1998,"Feb",2.519,61.373,2.081,1.2463
"39",1998.03,3,1998,"Mar",3.015,73.202,2.344,1.2463
"40",1998.04,4,1998,"Apr",2.971,72.327,2.314,1.2435
"41",1998.05,5,1998,"May",2.876,74.358,2.432,1.2435
"42",1998.06,6,1998,"June",2.853,86.093,2.317,1.0849
"43",1998.07,7,1998,"July",3.098,85.398,2.309,1.0849
